company_name,city,products,wrap_id,cert_type,wrap_profile_url,is_bgmea_member,is_bkmea_member,is_bgapmea_member,notes
Pentagon Knit Com. Ltd,Gazipur,"Boxers, Knitted Garments, Knitwear, Leggings, Polo Shirts, Sweatshirts, T-Shirts",19475,Gold,https://wrapcompliance.org/certified-facility/19475/,,,,
Pioneer Denim Limited (Garments Division),Habiganj,Woven Bottom,131442,Gold,https://wrapcompliance.org/certified-facility/131442/,,,,
PM KNITTEX (Pvt.) LTD.,Narayanganj,Knitted Garments,130855,Gold,https://wrapcompliance.org/certified-facility/130855/,,,,
Prime Jeans Culture Ltd.,"Narayanganj,","Woven Bottom, Woven Shirt, Woven Tops",19810,Gold,https://wrapcompliance.org/certified-facility/19810/,,,,
Rabab Fashion Industry Ltd.,Gazipur,"Knitwear, Woven Bottom",19905,Gold,https://wrapcompliance.org/certified-facility/19905/,,,,
Ralex Industries Limited,Chattogram,"Woven Bottom, Woven Shirt, Woven Tops",131329,Gold,https://wrapcompliance.org/certified-facility/131329/,,,,
RDM Apparels Ltd.,Chittagong,"Knitted Bottoms, Knitted Garments, Knitwear, Woven Bottom, Woven Tops",11873,Gold,https://wrapcompliance.org/certified-facility/11873/,,,,
Renaissance Barind Ltd.,Ishwardi,"Woven Bottom, Woven Shirt",126560,Gold,https://wrapcompliance.org/certified-facility/126560/,,,,
Sadia Fashion Wear's Ltd.,Narayanganj,"Knitted Bottoms, Knitted Garments, Knitted Shirts, Knitwear",127037,Gold,https://wrapcompliance.org/certified-facility/127037/,,,,
Salim & Brothers Ltd,Chittagong,"Woven Bottom, Woven Shirt, Woven Tops",8936,Gold,https://wrapcompliance.org/certified-facility/8936/,,,,
"Silver Composite Textile Mills Limited ( Unit-1, Garments)",Gazipur,"Woven Bottom, Woven Shirt, Woven Tops",16721,Gold,https://wrapcompliance.org/certified-facility/16721/,,,,
Snowtex Outerwear Ltd.,Dhamrai,"Jackets, Woven Bottom, Woven Tops",16317,Gold,https://wrapcompliance.org/certified-facility/16317/,,,,
South End Sweater Co. Ltd.,Dhaka,Sweaters,17742,Gold,https://wrapcompliance.org/certified-facility/17742/,,,,
STANDARD STITCHES WOVEN LIMITED,Gazipur,"Denim, Jackets, Woven Bottom, Woven Shirt, Woven Tops",131606,Gold,https://wrapcompliance.org/certified-facility/131606/,,,,
Stylesmyth SAN Apparels Ltd.,Magura,Dresses,126645,Gold,https://wrapcompliance.org/certified-facility/126645/,,,,
Suad Garments Industries Ltd,Narayanganj,"Blazers, Suits",18952,Gold,https://wrapcompliance.org/certified-facility/18952/,,,,
Tanima  Knit Composite Ltd.,Savar,Knitted Garments,15075,Gold,https://wrapcompliance.org/certified-facility/15075/,,,,
That's It Fashions Ltd.,Gazipur,"Woven Bottom, Woven Tops",126767,Gold,https://wrapcompliance.org/certified-facility/126767/,,,,
Tosrifa Industries Ltd.,Tongi East,Knitted Garments,10850,Gold,https://wrapcompliance.org/certified-facility/10850/,,,,
Trust Knitwear Industries Ltd.,Gazipur,"Knitted Bottoms, Knitted Garments, Knitted Shirts, Polo Shirts",131981,Gold,https://wrapcompliance.org/certified-facility/131981/,,,,
Univogue Garments Company Limited - Unit 1,Chittagong,Woven Bottom,18209,Gold,https://wrapcompliance.org/certified-facility/18209/,,,,
Whitex Garments (BD) PVT. LTD,Chittagong,"Briefs, Lingerie, Underwear",14868,Gold,https://wrapcompliance.org/certified-facility/14868/,,,,
Yagi Bangladesh Garments Ltd.,Savar,"Woven Bottom, Woven Tops",129667,Gold,https://wrapcompliance.org/certified-facility/129667/,,,,
Yasin Knittex Industries Ltd,Gazipur Sadar,"Kids Wear, Knitted Bottoms, Polo Shirts, Sweatshirts, Tank Tops, T-Shirts, Underwear",14517,Gold,https://wrapcompliance.org/certified-facility/14517/,,,,
Yunusco (BD) Ltd,Narayanganj,"Bikini, Boxers, Bras, Camisoles, Lingerie, Panties, Swimwear, T-Shirts",14613,Gold,https://wrapcompliance.org/certified-facility/14613/,,,,
